id,category,question_en,question_ur,question_ur_variants,answer,keywords
1,General / Company,What is SafeX Solutions?,SafeX Solutions kya hai?,SafeX Solutions kis cheez ki company hai?; Safex Solutions dar asal hai kya?,"SafeX Solutions is a global, full-service technology and digital solutions company delivering IT services, cybersecurity, digital marketing, and creative media solutions to businesses in more than 15 countries worldwide.",
2,General / Company,What services does SafeX Solutions offer?,SafeX Solutions kon kon si services deti hai?,Aap log kya kaam karte hain?; SafeX walay kaunsi services provide karte hain?; Company ki services list kya hai?,"SafeX Solutions offers Web Development, UI/UX Design, Cloud Solutions, Cybersecurity, AI Automation, Digital Marketing, Creative Media Services (photography & videography), Data Insights, and Skill Development / Training programs.",
3,General / Company,Where is SafeX Solutions located?,SafeX Solutions kahan located hai?,Aap ka office kahan hai?; SafeX ka address kya hai?,"SafeX Solutions' office address is E-9, Islamabad, Pakistan, and the team also serves clients internationally across more than 15 countries.",
4,General / Company,What are SafeX Solutions' working hours?,SafeX Solutions ke working hours kya hain?,Aap ka office kis waqt khulta hai?,"SafeX Solutions is open Monday to Friday, 9:00 AM to 6:00 PM.",
5,General / Company,How many years of experience does SafeX Solutions have?,SafeX Solutions ka kitne saal ka experience hai?,Aap kitne arsay se kaam kar rahe hain?,"According to their website, SafeX Solutions has 150+ completed projects and 15+ years of combined team experience, serving businesses across 15+ countries.",
6,General / Company,Which industries does SafeX Solutions work with?,SafeX Solutions kin industries ke saath kaam karti hai?,Kin business types ke liye kaam karte hain aap?,SafeX Solutions works with businesses across a wide range of industries in Pakistan and internationally. Share your industry with the team at contact@safexsolutions.com and they can tell you about relevant past experience.,
7,General / Company,Why should I choose SafeX Solutions over other agencies?,Main SafeX Solutions ko hi kyun choose karoon?,Dusri companies ke bajaye SafeX kyun behtar hai?,"SafeX Solutions combines 150+ completed projects and a global client base across 15+ countries with a mission-driven model — 50% of profits are reinvested into the SafeX Trust to support education and youth-led innovation, so your project also contributes to that impact.",
8,General / Company,Can I see SafeX Solutions' past work or portfolio?,Kya main SafeX Solutions ka pichla kaam dekh sakta hoon?,Portfolio ya sample projects dikha saktay hain?,"SafeX Solutions has completed 150+ projects for clients worldwide. For specific portfolio samples relevant to your industry, reach out to contact@safexsolutions.com.",
9,Contact,How can I contact SafeX Solutions?,Main SafeX Solutions se kaise contact kar sakta hoon?,Aap se rabta kaise kya jaye?; Contact kaise karain aap se?,"You can reach SafeX Solutions by email at contact@safexsolutions.com, by phone/WhatsApp at +92 327 5781580, or by filling out the contact form on their website at safexsolutions.com/contact.",
10,Contact,What is SafeX Solutions' phone number?,SafeX Solutions ka phone number kya hai?,Contact number batao; Whatsapp number kya hai aap ka?,You can call or WhatsApp SafeX Solutions at +92 327 5781580.,
11,Contact,What is SafeX Solutions' email address?,SafeX Solutions ka email address kya hai?,Email id batayein,You can email SafeX Solutions at contact@safexsolutions.com.,
12,Contact,Does SafeX Solutions have social media pages?,Kya SafeX Solutions ke social media pages hain?,Aap Instagram ya Facebook pe ho?,"Yes, SafeX Solutions is active on Facebook, Instagram, LinkedIn, TikTok, and Twitter/X. Links are available in the footer of their website.",
13,Contact,Does SafeX Solutions offer a free consultation?,Kya SafeX Solutions free consultation deti hai?,Pehli consultation free hoti hai kya?; Bila charge advice mil sakti hai kya?,"For an initial discussion about your project, reach out to the team directly at contact@safexsolutions.com or +92 327 5781580 — they can walk you through next steps and whether a free consultation applies to your project.",
14,Contact,How can I get a quote for my project?,Mujhe apne project ki quote kaise mile gi?,Quote kaise lein apne kaam ki?; Estimate kaise mangwayen?,"To get a quote, share your project details via email at contact@safexsolutions.com, by phone/WhatsApp at +92 327 5781580, or through the contact form on safexsolutions.com/contact — the team will get back to you with a tailored estimate.",
15,Web Development,Does SafeX Solutions offer web development services?,Kya SafeX Solutions web development ki service deti hai?,"Website banwani hai, kya aap banate hain?; Web development ka kaam karte hain aap?","Yes, SafeX Solutions builds responsive, fast-loading corporate websites, eCommerce stores, and custom web platforms tailored to your brand identity.",
16,Web Development,Can SafeX Solutions build an eCommerce website for my business?,Kya SafeX Solutions mere business ke liye eCommerce website bana sakti hai?,Online store ki website ban sakti hai kya?,"Yes, SafeX Solutions specializes in building custom eCommerce platforms along with corporate websites and web applications.",
